SCHEDULER,OPTIMIZER,LEARNING RATE,AVG LOSS
,SGD,0.1,0.5719020729718023
,SGD,0.01,0.5940040099570678
,SGD,0.001,0.6650163902500575
,SGD,0.0001,0.687949756561895
,SGD,1e-05,0.6898455153191002
,Adam,0.1,0.7310061198585793
,Adam,0.01,0.7310355938540147
,Adam,0.001,0.5859700882441112
,Adam,0.0001,0.5424984606877988
,Adam,1e-05,0.6127089465391498
,AdamW,0.1,0.6585001974953211
,AdamW,0.01,0.7310356071726131
,AdamW,0.001,0.5852476057413374
,AdamW,0.0001,0.5426996493502495
,AdamW,1e-05,0.6126902306493525
,NAdam,0.1,0.7310061197802346
,NAdam,0.01,0.6208033318994675
,NAdam,0.001,0.5184310414406278
,NAdam,0.0001,0.5282804135205743
,NAdam,1e-05,0.6074908481035323
OneCycleLR,SGD,0.1,0.7360451161297338
OneCycleLR,SGD,0.01,0.6003406583698766
OneCycleLR,SGD,0.001,0.6381848694210173
OneCycleLR,SGD,0.0001,0.6950398012603997
OneCycleLR,SGD,1e-05,0.6977412444309231
OneCycleLR,Adam,0.1,0.7313612520412692
OneCycleLR,Adam,0.01,0.5804785500847579
OneCycleLR,Adam,0.001,0.5463787953121554
OneCycleLR,Adam,0.0001,0.5708066155638479
OneCycleLR,Adam,1e-05,0.6680498803670976
OneCycleLR,AdamW,0.1,0.5349068911168352
OneCycleLR,AdamW,0.01,0.5557026549249292
OneCycleLR,AdamW,0.001,0.5449723688460549
OneCycleLR,AdamW,0.0001,0.5705094904678979
OneCycleLR,AdamW,1e-05,0.6680493177895039
OneCycleLR,NAdam,0.1,0.6074578178699837
OneCycleLR,NAdam,0.01,0.5401468776973389
OneCycleLR,NAdam,0.001,0.5357136827914121
OneCycleLR,NAdam,0.0001,0.5666590730192533
OneCycleLR,NAdam,1e-05,0.6634181702331289
